# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:34:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/x9k19esu.json
# init = 2 (Default)
# random
#   seed = 68384
# output
#   file = /home/lab5/output/code4-20230416113455_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.0031983
# Diagonal elements of inverse mass matrix:
# 1.08518e-05, 1.09967e-05, 1.09065e-05, 1.08914e-05, 1.08793e-05, 1.08545e-05, 1.08562e-05, 1.071e-05, 1.07518e-05, 1.09509e-05, 9.90113e-06
507.248,0.999836,0.0031983,8,255,0,-504.612,2.50183,2.50095,2.49956,2.4994,2.50107,2.50036,2.50083,2.49972,2.49914,2.5011,0.000107817,18.5102,19.3863,20.9379,21.9848,22.8265,23.3553,22.9764,23.8233,27.1273,26.2419,14,18,21,21,20,20,24,17,30,28
506.338,0.902416,0.0031983,9,511,0,-502.608,2.49865,2.49882,2.50131,2.50074,2.4988,2.50009,2.50022,2.49936,2.50146,2.49957,9.81772e-05,17.7771,18.5594,19.9822,20.8812,21.5333,22.0298,21.6978,22.4281,25.3104,24.4668,23,13,23,19,24,27,22,20,27,27
505.645,0.979369,0.0031983,9,511,0,-501.118,2.49918,2.49944,2.50146,2.49979,2.4985,2.50141,2.50131,2.49917,2.50057,2.50051,0.000121707,19.4789,20.5482,22.4947,23.7331,24.6826,25.4235,24.9428,25.9599,30.1208,28.9475,29,12,20,23,20,33,34,26,30,33
507.039,0.999763,0.0031983,8,511,0,-500.927,2.50055,2.49981,2.50131,2.50097,2.49948,2.49975,2.50028,2.49868,2.49941,2.49821,0.000116542,19.1203,20.1044,21.9148,23.0977,23.9759,24.6025,24.1719,25.1263,28.9527,27.8398,10,18,29,24,20,27,22,19,32,24
506.734,0.951466,0.0031983,9,511,0,-500.758,2.49969,2.50016,2.49907,2.499,2.50186,2.49912,2.50037,2.49996,2.50092,2.50129,0.000118303,19.2343,20.2645,22.0604,23.2759,24.2806,24.8497,24.4257,25.436,29.3787,28.2777,21,16,22,17,30,27,23,24,25,22
508.527,0.997962,0.0031983,8,511,0,-497.968,2.50021,2.49949,2.50105,2.4987,2.50053,2.4998,2.49978,2.49902,2.49925,2.49946,9.77213e-05,17.7735,18.5356,19.9313,20.7866,21.5136,21.9629,21.6302,22.357,25.169,24.3849,23,21,18,12,23,18,26,22,31,34
501.974,0.980965,0.0031983,8,255,0,-498.181,2.50072,2.49878,2.4998,2.4984,2.50104,2.50086,2.49799,2.50244,2.50106,2.50108,0.000115776,19.0672,20.0177,21.7979,22.9419,23.9067,24.5164,24.0084,25.1011,28.8361,27.7684,23,12,18,16,22,17,20,20,31,21
502.523,0.963824,0.0031983,8,511,0,-498.933,2.50079,2.4992,2.50052,2.49832,2.50092,2.50059,2.49831,2.5026,2.50147,2.50011,9.8343e-05,17.8265,18.5799,19.9831,20.8497,21.5998,22.0628,21.6775,22.5241,25.3418,24.5089,21,12,20,26,15,22,26,21,29,25
498.988,0.995618,0.0031983,8,255,0,-492.202,2.50081,2.4984,2.5,2.4999,2.50166,2.49877,2.49834,2.50292,2.50212,2.49867,0.000112751,18.8473,19.7515,21.4732,22.5986,23.5046,24.0227,23.5938,24.645,28.2248,27.1125,27,24,19,16,21,21,24,22,21,19
504.46,0.842519,0.0031983,8,255,0,-493.451,2.50067,2.49885,2.50085,2.49965,2.50028,2.49874,2.49861,2.50216,2.50163,2.49943,0.000115565,19.0505,20.0009,21.7975,22.944,23.8592,24.4332,23.9936,25.0612,28.8071,27.6811,15,24,22,24,20,28,29,23,24,24
