# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:06:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmphq3csp0a/8walc1ce.json
# init = 2 (Default)
# random
#   seed = 44886
# output
#   file = /home/lab5/output/code2-20230416100655_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00332191
# Diagonal elements of inverse mass matrix:
# 1.07474e-05, 9.90111e-06
502.542,1,0.00332191,2,3,0,-502.183,1.9008,0.000219884,15.6459,17.2239,20.2096,22.3312,24.0276,25.213,24.3628,26.2886,34.3017,31.929,11,14,19,15,18,16,19,36,36,28
502.635,1,0.00332191,2,3,0,-502.506,1.90079,0.000191208,14.0052,15.2257,17.4964,19.0831,20.3377,21.2074,20.5841,21.992,27.7168,26.0419,13,18,17,12,23,27,25,20,30,17
503.101,0.999473,0.00332191,6,99,0,-501.984,1.90113,0.000203184,14.6733,16.0358,18.5884,20.3847,21.8116,22.8041,22.0926,23.7017,30.3076,28.3651,14,23,15,32,24,32,19,25,26,26
503.044,0.972847,0.00332191,4,19,0,-502.772,1.90117,0.000202832,14.654,16.0122,18.5563,20.3463,21.768,22.7567,22.0479,23.6508,30.2297,28.2955,15,23,16,14,23,16,22,28,25,35
502.395,0.978829,0.00332191,6,103,0,-501.647,1.90153,0.000212081,15.1925,16.6679,19.4465,21.412,22.9789,24.0713,23.288,25.0611,32.3928,30.2288,9,29,18,17,16,29,23,19,29,28
502.429,0.99822,0.00332191,2,3,0,-502.333,1.90154,0.000199151,14.4524,15.7665,18.2228,19.9472,21.3149,22.2651,21.584,23.1237,29.4246,27.5749,11,14,18,30,21,20,29,30,36,28
502.439,0.899068,0.00332191,6,127,0,-499.532,1.90027,0.000222729,15.8104,17.4267,20.4898,22.6701,24.4154,25.6358,24.7604,26.744,35.0162,32.5638,18,18,24,16,22,31,28,24,36,30
502.474,0.999929,0.00332191,6,107,0,-501.425,1.90061,0.000188843,13.8753,15.0689,17.2864,18.8339,20.0563,20.9031,20.2963,21.6667,27.2289,25.6032,13,16,17,21,11,26,15,22,30,23
502.1,0.927938,0.00332191,1,1,0,-501.914,1.90061,0.000186176,13.7331,14.8971,17.0562,18.5605,19.7476,20.5694,19.9806,21.3101,26.6944,25.1224,21,15,23,22,21,24,18,23,30,18
503.541,0.992282,0.00332191,2,3,0,-501.944,1.90061,0.000203246,14.6692,16.0317,18.5845,20.381,21.8082,22.8008,22.0892,23.6985,30.3058,28.3629,19,14,29,19,24,22,35,28,35,28
503.707,0.969314,0.00332191,7,191,0,-502.84,1.89998,0.000208261,14.9467,16.3708,19.0469,20.9356,22.4391,23.4862,22.7354,24.4342,31.4368,29.3733,14,20,29,16,20,26,23,24,33,41
503.608,0.996655,0.00332191,7,215,0,-503.586,1.90036,0.000201268,14.5539,15.892,18.396,20.1562,21.5534,22.5247,21.8284,23.4027,29.856,27.9599,18,15,17,15,19,17,21,25,35,28
502.895,0.898255,0.00332191,7,171,0,-501.906,1.89984,0.00019113,13.9877,15.2062,17.4729,19.0568,20.3092,21.1773,20.5552,21.9605,27.6745,26.0028,11,17,23,18,37,24,21,24,22,26
503.627,0.932573,0.00332191,4,23,0,-501.997,1.89983,0.000210326,15.0642,16.5144,19.2429,21.171,22.7069,23.7773,23.0098,24.7467,31.9185,29.8033,4,11,24,18,25,24,26,32,27,26
503.238,0.999959,0.00332191,7,151,0,-502.887,1.90091,0.000210223,15.0745,16.525,19.2538,21.1819,22.7179,23.7882,23.0207,24.7576,31.9286,29.8138,11,17,25,19,22,26,25,22,32,38
503.245,0.957542,0.00332191,6,103,0,-502.362,1.9004,0.00019522,14.2183,15.4846,17.8458,19.4997,20.8095,21.7184,21.067,22.5391,28.5446,26.7846,19,8,17,22,15,22,25,28,33,25
503.058,0.919944,0.00332191,2,3,0,-502.29,1.9004,0.000193166,14.1061,15.3485,17.6626,19.2816,20.5626,21.4511,20.8144,22.2531,28.1124,26.3967,14,16,11,22,27,22,26,21,29,25
502.574,0.956731,0.00332191,2,3,0,-502.411,1.90041,0.000221451,15.7348,17.3337,20.3615,22.515,24.2381,25.4426,24.5786,26.5359,34.6901,32.274,15,14,17,28,20,39,31,22,32,43
503.062,1,0.00332191,2,3,0,-502.621,1.90041,0.000217369,15.4887,17.0321,19.948,22.017,23.6697,24.8238,23.9961,25.8705,33.6535,31.3513,25,15,26,15,17,22,26,25,43,32
503.294,0.915628,0.00332191,2,3,0,-502.204,1.90041,0.000214813,15.3364,16.8459,19.6932,21.7106,23.3205,24.4438,23.6382,25.4621,33.02,30.7868,14,17,25,18,14,24,27,27,39,25
503.041,0.973968,0.00332191,7,187,0,-502.274,1.89944,0.000194065,14.1416,15.3932,17.7256,19.3582,20.6505,21.547,20.9045,22.3563,28.2736,26.5403,12,17,25,25,14,26,16,19,25,23
503.563,0.994273,0.00332191,5,47,0,-502.886,1.8996,0.000210265,15.0572,16.5063,19.2326,21.159,22.6936,23.7631,22.9963,24.7316,31.8968,29.7836,18,19,15,25,21,25,22,26,29,26
503.456,0.981454,0.00332191,7,151,0,-503.142,1.89998,0.000197162,14.3194,15.6079,18.0133,19.7001,21.0369,21.9652,21.2999,22.8036,28.9475,27.1455,14,13,22,15,24,18,25,15,25,20
503.193,0.989489,0.00332191,7,175,0,-502.426,1.89914,0.000199349,14.4288,15.7421,18.1972,19.921,21.2883,22.2382,21.5573,23.0967,29.3973,27.5476,13,13,16,19,18,32,21,34,37,27
500.828,0.643873,0.00332191,1,3,0,-500.456,1.89914,0.000180228,13.4014,14.4996,16.5294,17.9388,19.0484,19.8153,19.2659,20.5056,25.5024,24.0472,13,13,25,17,17,18,16,19,29,24
501.862,1,0.00332191,2,3,0,-500.928,1.89914,0.000186243,13.7164,14.8794,17.0369,18.5401,19.7263,20.5475,19.9591,21.2876,26.6684,25.0974,19,17,18,15,18,23,25,26,27,30
503.598,0.998389,0.00332191,7,139,0,-501.836,1.90009,0.000199675,14.4607,15.7792,18.2444,19.9756,21.3489,22.3032,21.6192,23.1656,29.4966,27.6377,15,17,7,25,25,31,20,27,24,33
501.788,0.715639,0.00332191,1,3,0,-501.549,1.9001,0.000183234,13.5709,14.7023,16.7972,18.2543,19.4028,20.1972,19.6281,20.9128,26.1036,24.59,18,14,23,16,22,23,17,17,24,24
503.541,0.99167,0.00332191,7,171,0,-500.603,1.89995,0.000212368,15.1853,16.662,19.4437,21.4117,22.9807,24.0748,23.2903,25.0661,32.4104,30.2425,9,9,16,26,30,20,28,26,34,30
503.664,0.996526,0.00332191,6,67,0,-503.445,1.89978,0.000202144,14.5948,15.9428,18.4666,20.2416,21.651,22.631,21.9285,23.5171,30.0338,28.1184,18,17,17,19,23,27,24,26,32,28
503.735,0.998554,0.00332191,7,199,0,-503.504,1.9001,0.000205341,14.7809,16.1685,18.7717,20.6058,22.0641,23.079,22.3514,23.9972,30.7657,28.7736,9,24,15,25,18,28,23,28,34,29
503.566,0.769338,0.00332191,2,3,0,-501.807,1.90009,0.000199028,14.4245,15.7353,18.185,19.9047,21.2686,22.2162,21.537,23.0724,29.3549,27.5107,21,19,17,19,24,28,19,17,31,28
503.443,0.992486,0.00332191,6,99,0,-503.279,1.90024,0.000197301,14.3309,15.6213,18.0307,19.7203,21.0595,21.9894,21.3229,22.8293,28.9851,27.1794,13,17,14,15,20,22,25,19,37,19
502.771,0.768855,0.00332191,2,3,0,-501.447,1.90025,0.000220378,15.6672,17.2511,20.2487,22.3794,24.0835,25.2743,24.4202,26.3551,34.409,32.0237,18,15,19,21,20,28,20,24,42,21
502.413,0.915035,0.00332191,1,1,0,-502.252,1.90025,0.000222939,15.823,17.4421,20.5111,22.6958,24.4448,25.6679,24.7906,26.7785,35.0704,32.612,20,14,26,22,21,26,31,24,34,36
503.712,1,0.00332191,2,3,0,-502.447,1.90024,0.000204901,14.7578,16.1402,18.7329,20.5591,22.0109,23.021,22.2968,23.935,30.6695,28.6878,23,10,19,22,27,30,25,22,35,26
