# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:32:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/hjl2_xu3.json
# init = 2 (Default)
# random
#   seed = 86277
# output
#   file = /home/lab5/output/code4-20230416113233_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00326162
# Diagonal elements of inverse mass matrix:
# 1.09042e-05, 1.08371e-05, 1.0895e-05, 1.08785e-05, 1.08941e-05, 1.09094e-05, 1.09234e-05, 1.08539e-05, 1.08024e-05, 1.09471e-05, 9.9011e-06
501.838,0.97211,0.00326162,8,511,0,-493.906,2.50163,2.49951,2.50175,2.5018,2.49847,2.49813,2.49922,2.50165,2.50066,2.49908,0.000106996,18.448,19.2901,20.8972,21.9384,22.6587,23.1879,22.8291,23.7475,27.0033,26.0364,17,16,20,25,19,31,21,21,23,27
506.932,0.999424,0.00326162,8,255,0,-499.555,2.49942,2.50016,2.49927,2.49927,2.50121,2.50181,2.50043,2.49911,2.50092,2.50116,0.000107798,18.4644,19.3693,20.9298,21.9794,22.827,23.3864,22.9647,23.806,27.1718,26.2399,14,17,23,22,18,26,25,27,27,30
502.675,0.700426,0.00326162,8,255,0,-497.927,2.49856,2.50123,2.49978,2.49878,2.50093,2.50119,2.50252,2.49929,2.50036,2.50093,0.000125629,19.7641,20.9353,22.9042,24.2242,25.3135,26.0265,25.5553,26.6046,31.0055,29.7781,19,18,23,34,31,18,30,27,33,26
506.143,0.970732,0.00326162,8,255,0,-498.747,2.5006,2.49884,2.50043,2.50069,2.49958,2.49738,2.49941,2.50029,2.49923,2.49925,0.000107368,18.4556,19.308,20.9089,21.959,22.7329,23.2228,22.8834,23.7704,27.0394,26.1099,18,17,22,25,23,28,19,29,23,27
506.226,0.772853,0.00326162,9,511,0,-499.357,2.49962,2.50157,2.4991,2.49976,2.50052,2.50204,2.50044,2.49863,2.50076,2.50046,0.000107066,18.4159,19.3357,20.8493,21.9022,22.7145,23.2886,22.8664,23.6864,27.02,26.0855,18,15,20,25,22,17,24,33,23,24
506.48,0.85654,0.00326162,9,511,0,-499.973,2.50032,2.49836,2.50117,2.50018,2.49931,2.49789,2.49958,2.50068,2.49971,2.49937,0.000105312,18.3044,19.1289,20.7092,21.7018,22.4568,22.9481,22.6123,23.4774,26.6421,25.7342,19,20,24,30,23,19,22,40,27,18
507.483,0.968104,0.00326162,8,255,0,-501.832,2.4994,2.49941,2.50018,2.49994,2.50113,2.49933,2.49942,2.50149,2.50123,2.50109,0.00011581,19.0443,20.0333,21.8098,22.9817,23.9137,24.4838,24.0475,25.0827,28.8482,27.7754,15,29,26,23,19,25,24,17,20,30
508.45,0.829099,0.00326162,8,511,0,-499.617,2.49894,2.49964,2.49951,2.50013,2.50026,2.49892,2.49969,2.50037,2.49903,2.5015,0.00010384,18.1756,19.0326,20.5223,21.5264,22.2865,22.7686,22.4202,23.2562,26.3344,25.5208,20,13,23,27,17,22,35,27,23,29
508.685,0.99338,0.00326162,9,511,0,-505.897,2.49985,2.50055,2.50032,2.49913,2.49991,2.50105,2.50087,2.49952,2.50089,2.49873,0.000103634,18.1775,19.033,20.5177,21.4804,22.252,22.7889,22.4194,23.2066,26.3428,25.4128,21,23,22,24,22,14,18,30,29,28
502.221,0.995276,0.00326162,8,255,0,-499.611,2.50131,2.49805,2.50013,2.49886,2.50044,2.50012,2.49725,2.50014,2.49892,2.50168,0.000103997,18.2296,19.0152,20.5512,21.5176,22.311,22.8176,22.386,23.2736,26.3622,25.5539,15,30,21,17,26,22,39,24,37,33
