# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.00299996
# Diagonal elements of inverse mass matrix:
# 1.10486e-05, 1.08573e-05, 1.09601e-05, 1.09035e-05, 1.07803e-05, 1.08182e-05, 1.11398e-05, 1.08495e-05, 1.09126e-05, 1.10042e-05, 9.90112e-06
505.881,0.911411,0.00299996,8,255,0,-500.573,2.49839,2.49908,2.49988,2.49933,2.50075,2.50189,2.49854,2.50067,2.49997,2.49994,0.00011818,19.2003,20.2319,22.0645,23.2679,24.2363,24.9002,24.3636,25.4345,29.324,28.215,22,13,16,21,13,32,15,32,34,26
506.868,0.964746,0.00299996,9,511,0,-501.364,2.50167,2.50074,2.49991,2.50006,2.49923,2.4983,2.50136,2.49932,2.50038,2.50006,0.000102591,18.1374,18.9514,20.4021,21.3779,22.1027,22.5838,22.2934,23.0518,26.1264,25.2589,21,21,19,19,20,27,19,17,22,30
503.598,0.999769,0.00299996,8,255,0,-500.773,2.50227,2.50145,2.5007,2.49922,2.49861,2.49845,2.50134,2.49901,2.50045,2.50044,0.000113957,18.9629,19.9148,21.6187,22.733,23.5978,24.1903,23.833,24.7337,28.4313,27.3942,12,18,28,22,23,22,20,15,33,33
506.405,0.909818,0.00299996,8,255,0,-499.786,2.50168,2.50092,2.49995,2.49831,2.49924,2.49946,2.50097,2.49901,2.49962,2.49964,9.81075e-05,17.8262,18.593,19.9481,20.8226,21.5341,22.0065,21.7052,22.4105,25.2508,24.4563,23,32,21,23,18,20,25,26,32,32
505.11,0.997558,0.00299996,8,255,0,-502.036,2.50212,2.50051,2.50058,2.49827,2.49899,2.49951,2.50137,2.49964,2.49979,2.49911,9.81183e-05,17.8349,18.5861,19.9618,20.823,21.53,22.009,21.7152,22.4262,25.257,24.4452,18,19,13,28,17,20,8,18,17,24
507.157,0.997385,0.00299996,8,511,0,-503.022,2.49793,2.49916,2.49947,2.50007,2.50115,2.50023,2.49937,2.50028,2.50002,2.50087,9.72247e-05,17.6991,18.4899,19.8504,20.7586,21.4648,21.9066,21.5584,22.3162,25.0957,24.3332,21,19,28,22,25,33,30,22,19,24
508.188,0.998411,0.00299996,8,511,0,-501.177,2.49815,2.49899,2.49974,2.50011,2.50032,2.50055,2.49994,2.5005,2.50084,2.50047,9.91457e-05,17.8347,18.6401,20.0483,20.9792,21.6879,22.169,21.8155,22.5894,25.4773,24.6579,18,13,24,15,25,15,15,30,16,23
504.995,0.940803,0.00299996,8,255,0,-498.62,2.49819,2.49722,2.50005,2.50078,2.50015,2.49993,2.50047,2.50023,2.50081,2.50046,0.000101222,17.9791,18.774,20.265,21.2336,21.9476,22.4345,22.0951,22.8772,25.8728,25.0242,20,21,23,23,23,22,27,26,27,33
502.737,0.786373,0.00299996,9,511,0,-496.136,2.49867,2.49962,2.49982,2.49958,2.50147,2.50076,2.49898,2.49819,2.4994,2.50145,0.000134616,20.4644,21.725,23.9636,25.4675,26.6858,27.4647,26.846,28.1039,33.1155,31.7587,21,23,26,24,25,31,25,25,28,31
504.185,0.999954,0.00299996,9,511,0,-495.184,2.50174,2.50023,2.50024,2.49963,2.49752,2.49932,2.50047,2.5017,2.50092,2.49909,0.000103487,18.2017,19.015,20.5009,21.474,22.1799,22.7293,22.391,23.2358,26.3149,25.3954,18,27,17,23,19,22,26,22,25,23
