# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:04:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/17toygqy.json
# init = 2 (Default)
# random
#   seed = 78303
# output
#   file = /home/lab5/output/code2-20230416100439_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 5.53709e-06
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.08369e-05
-96838.9,1,5.53709e-06,9,511,0,96839.2,1.45879,0.000278142,12.5944,14.2221,17.4093,19.7526,21.6695,23.0305,22.0525,24.2803,33.9951,31.0483,8,14,18,16,23,24,22,32,32,26
-96838.9,1,5.53709e-06,7,127,0,96838.9,1.45879,0.000277959,12.5855,14.2109,17.3933,19.7328,21.6464,23.0051,22.0288,24.2527,33.9489,31.0079,10,13,21,18,27,28,20,26,26,33
-96840.8,0.999999,5.53709e-06,9,511,0,96841.5,1.45878,0.000268588,12.138,13.6496,16.5929,18.7447,20.4985,21.7404,20.8483,22.8787,31.6645,29.0099,14,17,19,16,17,20,28,26,31,31
-96840.7,1,5.53709e-06,6,63,0,96840.8,1.45878,0.000268895,12.1524,13.6676,16.6185,18.7763,20.5351,21.7807,20.886,22.9224,31.7368,29.0732,11,10,12,22,28,12,23,24,29,20
-96839.6,1,5.53709e-06,8,255,0,96840.8,1.45879,0.000272187,12.3079,13.8625,16.8959,19.1183,20.9321,22.2177,21.2941,23.397,32.5232,29.7616,14,22,16,19,15,23,28,16,22,27
-96841.2,0.999999,5.53709e-06,8,511,0,96841.5,1.45878,0.00026694,12.0609,13.5532,16.456,18.5762,20.3031,21.5254,20.6474,22.6453,31.2791,28.6722,12,15,19,23,16,22,23,24,29,28
-96840.1,1,5.53709e-06,9,511,0,96841.6,1.45878,0.000274142,12.4012,13.9795,17.0627,19.3242,21.1713,22.4813,21.5401,23.6833,32.9991,30.1779,11,10,22,12,23,24,27,26,41,27
-96832.6,0.999998,5.53709e-06,9,1023,0,96842.3,1.4588,0.00028982,13.1757,14.9548,18.4623,21.0585,23.1922,24.712,23.6196,26.1109,37.0784,33.7356,9,18,16,28,30,27,31,26,36,28
-96803.2,1,5.53709e-06,10,1023,0,96834.5,1.45887,0.000261469,11.8098,13.2393,16.011,18.029,19.6692,20.8283,19.9959,21.8892,30.0353,27.5812,13,15,13,24,17,15,18,20,35,25
-96803,1,5.53709e-06,7,127,0,96803.2,1.45887,0.000261472,11.8099,13.2394,16.0112,18.0293,19.6695,20.8287,19.9962,21.8896,30.0358,27.5816,13,20,15,18,22,21,22,21,39,33
-96772.6,0.999999,5.53709e-06,10,1023,0,96804,1.45894,0.00029371,13.3771,15.2091,18.8294,21.5153,23.726,25.3023,24.1691,26.7544,38.1715,34.6861,6,17,28,23,29,21,24,16,55,31
-96769,1,5.53709e-06,9,511,0,96773.1,1.45895,0.000274533,12.422,14.0054,17.0991,19.3688,21.223,22.5381,21.5932,23.7449,33.1007,30.2669,12,21,14,13,16,20,19,23,42,19
-96765.7,0.999999,5.53709e-06,10,1023,0,96769.7,1.45895,0.000266503,12.0426,13.5301,16.4227,18.5349,20.255,21.4723,20.5979,22.5876,31.1829,28.5881,17,7,17,19,36,27,21,23,34,28
-96763.8,0.999998,5.53709e-06,9,1023,0,96769.6,1.45896,0.000260321,11.7585,13.1752,15.9203,17.9175,19.54,20.6864,19.8631,21.7353,29.7826,27.3594,13,13,15,24,21,21,11,25,30,36
-96764.4,1,5.53709e-06,7,255,0,96764.6,1.45896,0.000259508,11.7217,13.1293,15.8553,17.8378,19.4479,20.5852,19.7684,21.6256,29.6032,27.2018,6,9,20,18,22,18,20,27,23,27
-96764.8,0.999997,5.53709e-06,9,511,0,96766.5,1.45896,0.000250327,11.3132,12.6211,15.1402,16.9625,18.4371,19.476,18.7301,20.4247,27.6505,25.4836,9,12,14,14,23,26,17,22,35,28
-96761.3,1,5.53709e-06,9,511,0,96765.6,1.45897,0.000255774,11.5539,12.9202,15.5606,17.4766,19.0304,20.1268,19.3395,21.129,28.7931,26.4896,9,23,29,28,21,20,13,24,24,26
-96726,1,5.53709e-06,10,1023,0,96763.3,1.45905,0.000294823,13.4361,15.2837,18.937,21.6492,23.8825,25.4754,24.3302,26.9431,38.4925,34.9651,13,14,17,18,19,23,22,37,43,25
-96722.7,1,5.53709e-06,9,767,0,96727.8,1.45905,0.00028769,13.071,14.8221,18.2701,20.8193,22.9124,24.4024,23.3315,25.7734,36.505,33.2369,13,16,16,21,31,24,20,29,40,32
-96720.1,0.999998,5.53709e-06,9,511,0,96723.7,1.45906,0.000292214,13.3015,15.1133,18.6905,21.3421,23.5233,25.0778,23.9603,26.5095,37.7537,34.3232,12,12,14,24,22,28,26,22,42,49
-96721.4,0.999997,5.53709e-06,9,511,0,96722.2,1.45906,0.000301347,13.7792,15.7187,19.5687,22.4377,24.8062,26.4985,25.2816,28.0599,40.4058,36.6251,9,20,17,22,25,21,20,29,41,39
-96720,1,5.53709e-06,8,287,0,96721.4,1.45906,0.000297709,13.587,15.4747,19.2141,21.9947,24.287,25.9232,24.7468,27.4318,39.3278,35.6903,14,22,20,23,23,24,21,25,37,39
-96714.8,1,5.53709e-06,9,511,0,96720.3,1.45907,0.00027336,12.3673,13.9366,17.0006,19.247,21.0812,22.3818,21.4474,23.575,32.8172,30.0192,12,19,22,20,22,23,17,28,39,45
-96714.5,1,5.53709e-06,6,127,0,96714.9,1.45907,0.000273455,12.3719,13.9422,17.0087,19.257,21.0928,22.3946,21.4594,23.5889,32.8403,30.0394,15,10,22,20,31,13,27,23,37,27
-96716,1,5.53709e-06,9,511,0,96716.5,1.45907,0.000280821,12.729,14.3909,17.6503,20.0504,22.0158,23.4123,22.4088,24.6954,34.6886,31.654,12,7,10,18,20,38,20,22,39,29
-96711.8,0.999999,5.53709e-06,10,1023,0,96716.6,1.45908,0.00026529,11.9878,13.4613,16.3248,18.4143,20.1151,21.3184,20.4541,22.4204,30.9067,28.3461,10,10,16,21,13,25,22,24,35,30
-96704.1,1,5.53709e-06,9,767,0,96712.9,1.45909,0.000278772,12.6289,14.2651,17.4699,19.827,21.7557,23.1252,22.1411,24.3831,34.1651,31.1971,10,13,12,16,14,26,26,14,35,33
-96705.9,0.999998,5.53709e-06,9,511,0,96706.6,1.45909,0.00029067,13.2229,15.0138,18.5466,21.1629,23.3138,24.8461,23.7446,26.2569,37.3241,33.9497,12,14,17,21,22,29,18,26,35,17
-96702.7,1,5.53709e-06,9,511,0,96706.3,1.4591,0.000288862,13.1309,14.8977,18.379,20.9544,23.0702,24.5768,23.4939,25.9633,36.8261,33.5165,16,12,17,28,27,28,16,39,38,35
-96696.6,0.999999,5.53709e-06,10,1023,0,96703.4,1.45911,0.000263459,11.9037,13.3563,16.1759,18.2311,19.9028,21.0849,20.2359,22.1673,30.4901,27.9807,10,10,12,17,21,21,9,29,28,26
