# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:25:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/u63o5wh6.json
# init = 2 (Default)
# random
#   seed = 24928
# output
#   file = /home/lab5/output/code2-20230416112538_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000724231
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07533e-05
-6.95247e+06,1,0.000724231,1,1,0,6.9525e+06,-1.82903,0.000779407,3.26028,4.58328,8.07718,11.5063,14.916,17.6922,15.6667,20.5162,52.6832,40.8624,3,4,4,10,19,18,21,14,44,36
-6.9519e+06,0.986473,0.000724231,3,7,0,6.95247e+06,-1.82888,0.000769448,3.13772,4.39183,7.68396,10.8968,14.0791,16.6632,14.7784,19.2863,48.9318,38.0761,3,2,6,17,15,14,18,20,53,36
-6.95187e+06,0.997152,0.000724231,2,3,0,6.9519e+06,-1.82887,0.000767971,3.11989,4.36405,7.62716,10.809,13.9588,16.5154,14.6507,19.1099,48.3977,37.6787,2,5,5,16,16,17,13,28,46,34
-6.95184e+06,1,0.000724231,1,1,0,6.95187e+06,-1.82886,0.000769303,3.13601,4.38916,7.67847,10.8882,14.0674,16.6488,14.766,19.2692,48.8797,38.0374,1,3,5,13,14,11,19,21,42,36
-6.95184e+06,0.984979,0.000724231,1,1,0,6.95184e+06,-1.82886,0.000769303,3.13601,4.38916,7.67847,10.8882,14.0674,16.6488,14.766,19.2692,48.8797,38.0374,6,2,5,11,10,14,16,20,59,47
-6.95181e+06,0.991278,0.000724231,1,1,0,6.95184e+06,-1.82886,0.000767284,3.11167,4.35125,7.601,10.7685,13.9034,16.4474,14.592,19.0288,48.1521,37.4958,2,5,5,15,18,11,16,16,52,41
-6.95168e+06,0.987874,0.000724231,2,3,0,6.95181e+06,-1.82882,0.000785312,3.33622,4.70215,8.32233,11.8873,15.4403,18.3378,16.2234,21.2887,55.0589,42.6229,5,2,8,9,14,16,10,18,60,33
-6.95165e+06,1,0.000724231,3,7,0,6.95168e+06,-1.82881,0.000784116,3.32087,4.67808,8.27252,11.8098,15.3335,18.2062,16.11,21.131,54.5721,42.2625,0,7,4,14,10,20,14,21,57,45
-6.95133e+06,0.977058,0.000724231,3,7,0,6.95165e+06,-1.82873,0.00076685,3.10686,4.3437,7.58541,10.7443,13.8701,16.4065,14.5567,18.9799,48.0031,37.3852,3,4,5,11,10,13,13,19,51,50
-6.9512e+06,0.969468,0.000724231,2,3,0,6.95133e+06,-1.82869,0.000758143,3.00421,4.18423,7.26082,10.244,13.186,15.5675,13.831,17.9795,44.9966,35.1432,0,7,6,12,11,14,17,14,48,32
