# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code4_model
# start_datetime = 2023-04-16 11:31:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmphq3csp0a/9615jsf2.json
# init = 2 (Default)
# random
#   seed = 85257
# output
#   file = /home/lab5/output/code4-20230416113142_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,accidents_number.1,accidents_number.2,accidents_number.3,accidents_number.4,accidents_number.5,accidents_number.6,accidents_number.7,accidents_number.8,accidents_number.9,accidents_number.10
# Adaptation terminated
# Step size = 0.000690729
# Diagonal elements of inverse mass matrix:
# 0.121631, 1.52322, 0.0687716, 0.984585, 0.539419, 0.15416, 1.74767, 1.36247, 0.437356, 1.42726, 4.26534e-05
508.1,0.915648,0.000690729,4,15,0,-499.11,2.49933,2.4993,2.49958,2.50054,2.49927,2.49845,2.50042,2.50028,2.49856,2.50061,0.00010599,18.3343,19.2027,20.7468,21.7904,22.5446,23.055,22.7218,23.5672,26.746,25.8905,20,14,19,31,28,15,18,19,30,26
509.723,0.853812,0.000690729,4,15,0,-502.619,2.49906,2.49915,2.5007,2.50024,2.50019,2.49919,2.50011,2.5001,2.49969,2.49954,0.000117128,19.1352,20.1419,21.9662,23.1553,24.075,24.6758,24.2513,25.254,29.0873,27.9934,22,22,16,39,28,17,35,30,27,31
508.972,0.747112,0.000690729,2,3,0,-506.124,2.49906,2.5011,2.50071,2.50017,2.50011,2.4991,2.49927,2.49972,2.49907,2.49999,0.000115651,19.0262,20.0533,21.8039,22.9667,23.8671,24.4546,24.0216,25.0136,28.7519,27.7135,22,18,19,24,27,21,23,27,34,21
507.328,0.609754,0.000690729,4,23,0,-496.444,2.49941,2.4992,2.50028,2.49931,2.49897,2.49894,2.49875,2.50004,2.49934,2.50169,0.000108588,18.5205,19.4166,21.0342,22.0758,22.8809,23.4308,23.0328,23.9455,27.2888,26.4017,20,16,21,21,29,20,29,25,27,21
504.645,0.944951,0.000690729,4,15,0,-500.176,2.49979,2.50137,2.49868,2.50024,2.50067,2.50179,2.50124,2.49878,2.50032,2.49859,9.49988e-05,17.5802,18.3543,19.6139,20.5104,21.1787,21.6481,21.318,21.9761,24.6913,23.8968,20,9,23,19,29,20,19,26,26,29
499.26,0.714918,0.000690729,2,3,0,-495.397,2.49998,2.49743,2.49842,2.5,2.49846,2.50196,2.49902,2.50014,2.50105,2.50162,8.45692e-05,16.8892,17.4803,18.6071,19.366,19.8885,20.3314,20.006,20.6231,22.8661,22.257,14,22,21,18,24,20,21,20,25,21
504.369,1,0.000690729,3,7,0,-496.555,2.49908,2.50095,2.49898,2.49995,2.50182,2.50096,2.49821,2.50072,2.49858,2.49955,0.000121894,19.491,20.5959,22.4601,23.7612,24.7916,25.4405,24.8929,26.0303,30.1027,28.9581,19,19,21,19,18,17,20,16,17,39
498.864,0.923357,0.000690729,3,7,0,-495.601,2.49948,2.50044,2.49892,2.49864,2.5023,2.50183,2.50085,2.50123,2.49752,2.50055,0.0001315,20.2361,21.4535,23.5698,25.013,26.2285,26.982,26.4082,27.6482,32.2967,31.0353,15,28,23,21,28,17,25,26,33,23
505.961,0.995026,0.000690729,3,7,0,-495.235,2.50025,2.49859,2.49998,2.50135,2.49829,2.50063,2.50004,2.50063,2.50055,2.50055,8.87371e-05,17.1679,17.8171,19.0308,19.8404,20.3729,20.8213,20.5231,21.1754,23.5736,22.9015,9,16,26,16,19,17,28,22,37,25
502.935,0.903167,0.000690729,3,7,0,-498.875,2.50047,2.50047,2.49951,2.49866,2.49805,2.50115,2.49851,2.49976,2.49953,2.49885,8.11288e-05,16.6743,17.2761,18.3081,18.9788,19.4868,19.8975,19.5956,20.1786,22.2547,21.6592,18,15,20,22,17,23,12,14,25,16
504.616,0.984444,0.000690729,4,23,0,-497.725,2.50019,2.49946,2.49998,2.50092,2.50016,2.50243,2.50127,2.49895,2.50072,2.50105,9.04434e-05,17.2804,17.964,19.1947,20.0181,20.6147,21.0747,20.7554,21.3655,23.8786,23.1925,20,20,19,23,21,16,17,22,25,17
504.387,0.892263,0.000690729,4,15,0,-496.764,2.50062,2.50093,2.50032,2.50093,2.49863,2.49882,2.49879,2.49819,2.50166,2.50113,0.000113766,18.9177,19.8882,21.5898,22.7481,23.5721,24.1713,23.7455,24.6841,28.4254,27.376,16,19,17,18,30,17,22,30,35,17
504.246,0.992125,0.000690729,3,11,0,-498.093,2.4997,2.49906,2.50056,2.49898,2.49875,2.50067,2.50123,2.50115,2.50168,2.49893,0.000128586,20.0139,21.1571,23.2652,24.625,25.6963,26.4809,25.9697,27.1489,31.7361,30.3497,20,33,15,18,26,15,34,33,34,33
503.584,0.940482,0.000690729,4,15,0,-500.023,2.50057,2.49925,2.49987,2.50116,2.49886,2.49848,2.50195,2.50096,2.50167,2.49989,0.000125892,19.824,20.9175,22.9366,24.3169,25.2997,25.9971,25.5802,26.6926,31.1068,29.8029,21,17,26,26,17,24,19,21,28,25
503.318,0.971208,0.000690729,3,7,0,-498.155,2.50062,2.50102,2.4996,2.49868,2.50177,2.49805,2.49806,2.49878,2.50054,2.49979,0.000117976,19.2279,20.2532,22.0357,23.227,24.2322,24.7741,24.3226,25.3543,29.2963,28.1698,16,22,28,14,24,14,26,26,29,38
505.552,0.920324,0.000690729,3,7,0,-496.294,2.50074,2.49906,2.49974,2.49861,2.49964,2.49968,2.50147,2.50125,2.50161,2.50037,9.27648e-05,17.4457,18.1369,19.4154,20.2276,20.8838,21.3133,21.0447,21.7262,24.3158,23.5624,16,26,18,25,16,23,21,26,14,19
