lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00326443
# Diagonal elements of inverse mass matrix:
# 1.09543e-05, 1.08571e-05, 1.08561e-05, 1.09617e-05, 1.09387e-05, 1.08919e-05, 1.07597e-05, 1.09618e-05, 1.1088e-05, 1.09197e-05, 9.90113e-06
506.135,0.982108,0.00326443,8,511,0,-498.006,2.5002,2.49942,2.49944,2.50104,2.50058,2.49913,2.49862,2.50103,2.5003,2.50212,0.000100157,17.9413,18.7294,20.1445,21.1155,21.8214,22.2731,21.9166,22.7442,25.6557,24.8768,18,20,23,14,17,25,21,21,30,10
506.268,0.999699,0.00326443,9,511,0,-500.212,2.49984,2.50061,2.50042,2.49885,2.49932,2.50079,2.50137,2.49885,2.50003,2.49794,0.000102099,18.07,18.909,20.3621,21.2945,22.0414,22.5728,22.229,22.9704,26.0217,25.1173,18,23,19,22,18,27,13,29,29,25
507.584,0.903381,0.00326443,8,255,0,-501.679,2.49976,2.49964,2.49948,2.49884,2.50031,2.49999,2.50156,2.49928,2.50127,2.50054,9.58331e-05,17.6364,18.3884,19.7121,20.5755,21.274,21.7181,21.4295,22.1017,24.8684,24.0859,17,16,17,26,22,22,27,28,15,21
507.806,0.997585,0.00326443,8,511,0,-503.151,2.49957,2.49961,2.49981,2.50109,2.50118,2.50057,2.49959,2.49858,2.49897,2.50019,9.67736e-05,17.6972,18.4623,19.812,20.7285,21.4093,21.8544,21.5059,22.2158,24.9853,24.2388,18,24,20,21,19,27,24,32,21,18
507.68,0.999571,0.00326443,8,255,0,-501.015,2.49987,2.50019,2.49977,2.50137,2.50074,2.5009,2.49885,2.49845,2.49925,2.50029,0.000103337,18.1571,19.0019,20.4758,21.4937,22.2322,22.7446,22.3351,23.1389,26.2417,25.3989,11,18,18,21,19,26,18,28,28,17
504.875,0.990843,0.00326443,8,511,0,-501.186,2.5009,2.49884,2.49978,2.49826,2.49925,2.50016,2.50087,2.50073,2.49762,2.49942,0.000115323,19.0373,19.98,21.7478,22.8819,23.8014,24.4323,24.0137,24.9879,28.6403,27.6333,15,16,20,26,18,19,27,26,28,20
503.224,0.999711,0.00326443,8,255,0,-494.702,2.4975,2.50081,2.50022,2.5003,2.49899,2.50093,2.50208,2.50123,2.50088,2.50105,0.000112368,18.7572,19.7666,21.4364,22.5604,23.3898,24.019,23.6288,24.5448,28.1097,27.1032,19,10,27,21,20,27,17,22,31,23
505.986,0.98265,0.00326443,8,255,0,-497.978,2.50146,2.50077,2.50057,2.49989,2.50144,2.49757,2.49994,2.49982,2.49959,2.50016,0.000111807,18.7908,19.7181,21.3836,22.4817,23.3707,23.8576,23.5008,24.4247,27.9567,26.9714,23,18,27,24,30,24,26,24,31,37
507.243,0.998451,0.00326443,9,511,0,-501.721,2.50067,2.49882,2.49962,2.50064,2.50137,2.49945,2.50068,2.49863,2.5004,2.50128,0.000110896,18.7101,19.6029,21.2658,22.3865,23.2457,23.7716,23.3925,24.2577,27.7906,26.8274,18,25,23,23,24,21,26,18,28,29
509.551,0.98134,0.00326443,8,255,0,-506.032,2.50089,2.49993,2.49943,2.50017,2.50054,2.50023,2.50049,2.49918,2.50073,2.50088,0.000115385,19.0416,20.007,21.7468,22.9335,23.8406,24.4432,24.0133,24.9587,28.7428,27.6857,21,15,15,32,21,15,25,24,25,17
