lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa.1,alfa.2,alfa.3,alfa.4,alfa.5,alfa.6,alfa.7,alfa.8,alfa.9,alfa.10,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 1.55182e-50
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 9.90099e-06, 5.04775e-05
-3.12298e+91,1,1.55182e-50,2,3,0,3.12311e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43855e+46,3.39433e+53,2.76905e+61,2.38243e+66,1.59873e+71,2.4339e+74,2.66592e+72,1.93891e+76,3.12251e+91,4.70116e+87,0,0,0,0,0,0,0,0,0,0
-3.12285e+91,1,1.55182e-50,2,3,0,3.12298e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43839e+46,3.39425e+53,2.76898e+61,2.38235e+66,1.59868e+71,2.43382e+74,2.66583e+72,1.93885e+76,3.12238e+91,4.70098e+87,0,0,0,0,0,0,0,0,0,0
-3.12232e+91,1,1.55182e-50,3,7,0,3.12285e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43774e+46,3.39392e+53,2.76866e+61,2.38206e+66,1.59847e+71,2.43349e+74,2.66548e+72,1.93857e+76,3.12185e+91,4.70022e+87,0,0,0,0,0,0,0,0,0,0
-3.12229e+91,1,1.55182e-50,1,1,0,3.12232e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.4377e+46,3.3939e+53,2.76864e+61,2.38204e+66,1.59846e+71,2.43346e+74,2.66545e+72,1.93856e+76,3.12182e+91,4.70017e+87,0,0,0,0,0,0,0,0,0,0
-3.12216e+91,1,1.55182e-50,2,3,0,3.12229e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43753e+46,3.39381e+53,2.76856e+61,2.38197e+66,1.5984e+71,2.43338e+74,2.66537e+72,1.93849e+76,3.12169e+91,4.69999e+87,0,0,0,0,0,0,0,0,0,0
-3.12212e+91,1,1.55182e-50,1,1,0,3.12216e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43749e+46,3.39379e+53,2.76854e+61,2.38195e+66,1.59839e+71,2.43336e+74,2.66534e+72,1.93847e+76,3.12165e+91,4.69994e+87,0,0,0,0,0,0,0,0,0,0
-3.12209e+91,1,1.55182e-50,1,1,0,3.12212e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43745e+46,3.39377e+53,2.76852e+61,2.38193e+66,1.59838e+71,2.43334e+74,2.66532e+72,1.93845e+76,3.12162e+91,4.69989e+87,0,0,0,0,0,0,0,0,0,0
-3.12196e+91,1,1.55182e-50,2,3,0,3.12209e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43729e+46,3.39369e+53,2.76845e+61,2.38186e+66,1.59832e+71,2.43326e+74,2.66523e+72,1.93839e+76,3.12149e+91,4.6997e+87,0,0,0,0,0,0,0,0,0,0
-3.12193e+91,1,1.55182e-50,1,1,0,3.12196e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43725e+46,3.39367e+53,2.76843e+61,2.38184e+66,1.59831e+71,2.43324e+74,2.66521e+72,1.93837e+76,3.12146e+91,4.69966e+87,0,0,0,0,0,0,0,0,0,0
-3.1219e+91,1,1.55182e-50,1,1,0,3.12193e+91,-1.13057,1.86604,-0.440784,-1.8951,-0.181986,0.963477,0.853388,-0.0226006,0.833236,1.23536,0.0282309,7.43721e+46,3.39365e+53,2.76841e+61,2.38182e+66,1.5983e+71,2.43322e+74,2.66519e+72,1.93835e+76,3.12143e+91,4.69961e+87,0,0,0,0,0,0,0,0,0,0
