# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/wpkq61od.json
# init = 2 (Default)
# random
#   seed = 2224
# output
#   file = /home/lab5/output/code2-20230416104041_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.000619321
# Diagonal elements of inverse mass matrix:
# 9.90099e-06, 5.07306e-05
-3.78302e+06,1,0.000619321,1,1,0,3.78303e+06,-0.850796,0.000627845,4.82865,6.35306,10.028,13.3354,16.4363,18.859,17.0995,21.2484,45.4209,37.014,4,3,10,18,20,17,20,21,47,31
-1.44948e+06,1,0.000619321,10,1023,0,3.78302e+06,0.197095,0.000468752,7.44755,9.14063,12.8522,15.9001,18.5862,20.5956,19.1433,22.5141,39.6992,34.0734,5,8,11,15,25,23,20,21,25,41
-1.44882e+06,0.999493,0.000619321,5,31,0,1.44948e+06,0.197482,0.000477471,7.70564,9.4935,13.4332,16.6848,19.5602,21.7163,20.1575,23.7785,42.3735,36.2655,6,9,10,8,20,20,16,26,40,33
-1.44882e+06,0.999681,0.000619321,1,1,0,1.44882e+06,0.197483,0.000477664,7.71139,9.50138,13.4462,16.7025,19.5822,21.7416,20.1804,23.8071,42.4343,36.3153,9,11,14,8,21,26,22,32,47,34
-1.44874e+06,0.999975,0.000619321,5,31,0,1.44882e+06,0.197532,0.00047074,7.50823,9.22312,12.9869,16.0813,18.8105,20.8532,19.3767,22.8042,40.3077,34.5733,7,12,15,9,18,25,15,15,49,38
-1.44874e+06,0.983392,0.000619321,3,7,0,1.44874e+06,0.197533,0.000465613,7.36099,9.02201,12.6565,15.6357,18.258,20.218,18.8015,22.0881,38.8004,33.3361,8,11,15,14,12,22,20,26,43,33
-1.44872e+06,0.996242,0.000619321,2,3,0,1.44874e+06,0.197543,0.000463146,7.29126,8.92692,12.5006,15.4259,17.9982,19.9196,18.5311,21.7519,38.096,32.7572,2,6,13,22,19,18,17,18,44,26
-1.44871e+06,1,0.000619321,1,1,0,1.44872e+06,0.197546,0.000463239,7.2939,8.93051,12.5065,15.4338,18.008,19.9308,18.5413,21.7645,38.1224,32.7789,5,12,15,18,25,17,19,23,33,37
-1.44871e+06,0.979003,0.000619321,2,3,0,1.44872e+06,0.197549,0.000475832,7.65751,9.42744,13.3238,16.5367,19.376,21.504,19.9656,23.5388,41.8631,35.8479,2,11,15,20,18,18,12,20,49,32
-1.44871e+06,1,0.000619321,1,1,0,1.44871e+06,0.197551,0.000474668,7.62317,9.3804,13.2461,16.4316,19.2454,21.3536,19.8296,23.369,41.5027,35.5527,7,7,12,18,19,21,22,23,46,37
-1.44871e+06,0.998575,0.000619321,1,1,0,1.44871e+06,0.197549,0.000476245,7.66975,9.44422,13.3516,16.5742,19.4226,21.5578,20.0142,23.5994,41.992,35.9534,9,8,9,17,24,16,21,17,29,34
-1.4487e+06,0.993484,0.000619321,3,7,0,1.44871e+06,0.197556,0.000468963,7.45706,9.15315,12.8717,15.9259,18.6176,20.6314,19.1759,22.5541,39.7799,34.1403,7,8,13,12,12,17,24,24,41,37
-1.44869e+06,0.999769,0.000619321,2,3,0,1.4487e+06,0.197559,0.000470103,7.48998,9.19814,12.9457,16.0257,18.7414,20.7737,19.3048,22.7146,40.1183,34.418,7,11,17,16,13,29,23,16,36,43
-1.44869e+06,1,0.000619321,1,1,0,1.44869e+06,0.197558,0.000471097,7.51879,9.23752,13.0106,16.1132,18.85,20.8986,19.4179,22.8555,40.4158,34.6619,6,5,15,14,25,20,18,22,45,33
-1.44869e+06,1,0.000619321,1,1,0,1.44869e+06,0.197559,0.000473525,7.58967,9.33451,13.1704,16.3292,19.1181,21.2071,19.697,23.2036,41.152,35.2655,7,8,17,18,20,24,17,29,35,40
-1.44867e+06,0.99651,0.000619321,2,3,0,1.44869e+06,0.197573,0.000479262,7.75983,9.56775,13.5559,16.8509,19.7667,21.9542,20.3727,24.0472,42.9452,36.7334,10,10,17,16,27,25,20,22,42,42
