# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:21:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmphq3csp0a/sikel5ni.json
# init = 2 (Default)
# random
#   seed = 28044
# output
#   file = /home/lab5/output/code2-20230416112144_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00364036
# Diagonal elements of inverse mass matrix:
# 1.12016e-05, 9.90113e-06
501.736,0.976064,0.00364036,3,15,0,-501.329,1.902,0.000208182,14.9724,16.3983,19.0779,20.969,22.4742,23.5226,22.7709,24.4716,31.4819,29.4162,13,16,21,25,14,19,16,21,30,23
501.085,0.885621,0.00364036,4,23,0,-500.592,1.9019,0.000219609,15.6466,17.2226,20.2039,22.3221,24.0157,25.199,24.3503,26.2727,34.2695,31.9018,10,13,22,19,26,20,24,28,28,26
497.964,0.709322,0.00364036,2,3,0,-497.941,1.9019,0.000172963,13.0665,14.0924,15.9807,17.2862,18.311,19.0179,18.5116,19.6533,24.2285,22.9002,7,12,18,18,13,14,14,25,22,20
500.17,1,0.00364036,2,3,0,-498.186,1.90191,0.000183919,13.6315,14.7724,16.8857,18.3562,19.5155,20.3176,19.743,21.0402,26.2844,24.7548,19,10,15,15,12,30,29,15,25,15
498.661,0.903486,0.00364036,4,19,0,-498.189,1.90205,0.000177333,13.291,14.3619,16.3381,17.7079,18.7851,19.5289,18.9961,20.1981,25.0322,23.6261,12,10,14,26,18,20,16,28,35,21
501.528,1,0.00364036,2,3,0,-499.055,1.90206,0.000210666,15.1176,16.5754,19.3187,21.2576,22.8025,23.8791,23.1071,24.8543,32.0705,29.9419,15,18,19,23,31,23,18,28,32,43
501.577,0.983297,0.00364036,2,3,0,-501.374,1.90205,0.00020039,14.5292,15.8589,18.346,20.0934,21.4799,22.4436,21.7528,23.3146,29.712,27.833,10,13,18,21,23,20,23,28,36,19
501.674,0.999928,0.00364036,3,11,0,-501.583,1.90204,0.000207253,14.9193,16.3336,18.9897,20.8633,22.354,23.392,22.6478,24.3315,31.2666,29.2238,9,16,12,31,20,28,24,19,34,26
503.319,0.997263,0.00364036,6,103,0,-500.71,1.90092,0.000203517,14.6891,16.0553,18.6155,20.4175,21.8492,22.8451,22.1311,23.7457,30.3762,28.4262,9,16,14,15,14,24,18,13,31,37
503.644,0.983191,0.00364036,7,231,0,-502.492,1.90016,0.000209978,15.049,16.4952,19.2157,21.1377,22.6686,23.7353,22.9704,24.7014,31.8467,29.7397,16,18,14,24,25,25,21,23,28,34
503.021,0.817684,0.00364036,1,3,0,-502.557,1.90017,0.000192199,14.0501,15.2812,17.5728,19.175,20.4424,21.3212,20.6914,22.1142,27.9043,26.2096,19,15,19,19,17,33,15,13,21,20
503.2,0.965864,0.00364036,7,147,0,-502.186,1.90096,0.000210138,15.0703,16.5197,19.2464,21.173,22.7077,23.7771,23.0103,24.7456,31.9099,29.7971,11,21,14,26,30,21,29,21,34,23
501.978,0.824996,0.00364036,5,43,0,-501.352,1.90068,0.000224394,15.919,17.5591,20.6705,22.8873,24.663,25.9053,25.0142,27.0336,35.4669,32.965,16,13,21,28,26,24,20,25,41,33
503.451,0.849387,0.00364036,2,3,0,-500.71,1.90067,0.00020964,15.0369,16.4796,19.1927,21.1092,22.6355,23.6989,22.9364,24.6619,31.7828,29.6832,12,9,22,19,17,29,24,28,25,38
