# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 11:21:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/sikel5ni.json
# init = 2 (Default)
# random
#   seed = 28044
# output
#   file = /home/lab5/output/code2-20230416112144_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.0034233
# Diagonal elements of inverse mass matrix:
# 1.08525e-05, 9.90112e-06
503.36,0.930655,0.0034233,7,179,0,-501.222,1.90058,0.000212732,15.2162,16.6986,19.4915,21.4679,23.0439,24.1429,23.3548,25.1387,32.5187,30.3399,8,19,26,24,22,32,30,26,37,32
502.795,0.932269,0.0034233,6,127,0,-501.176,1.90042,0.000190735,13.9744,15.1891,17.4483,19.0265,20.2742,21.139,20.5193,21.9191,27.6092,25.9447,18,22,17,21,18,15,25,27,32,18
502.873,0.997852,0.0034233,5,51,0,-502.573,1.90027,0.000219525,15.6159,17.1882,20.1624,22.2754,23.9647,25.145,24.2985,26.216,34.1921,31.8306,12,15,19,32,21,19,17,25,39,34
503.647,0.947479,0.0034233,2,3,0,-502.316,1.90027,0.00020168,14.5758,15.9187,18.4325,20.2,21.6032,22.5787,21.8794,23.4607,29.9449,28.0394,11,22,13,16,21,15,22,23,28,25
503.669,0.999548,0.0034233,6,123,0,-503.428,1.90038,0.000204365,14.7293,16.1053,18.685,20.5016,21.9454,22.9499,22.2297,23.8585,30.5518,28.5827,12,16,16,12,22,16,23,32,28,28
503.652,0.991598,0.0034233,2,3,0,-503.627,1.90037,0.000207775,14.9246,16.3431,19.008,20.8883,22.3847,23.4268,22.6797,24.3701,31.336,29.2837,11,17,22,16,24,21,16,17,26,27
503.595,0.993343,0.0034233,5,63,0,-503.49,1.90044,0.000209044,14.999,16.4337,19.131,21.0356,22.552,23.6085,22.851,24.5651,31.6351,29.5511,12,19,15,27,31,32,25,21,31,31
503.31,0.685752,0.0034233,2,3,0,-501.151,1.90044,0.000196259,14.2761,15.5545,17.94,19.6118,20.9363,21.8558,21.1968,22.6862,28.767,26.9841,21,11,14,13,25,18,27,23,30,24
503.31,0.770041,0.0034233,1,3,0,-501.949,1.90044,0.000196259,14.2761,15.5545,17.94,19.6118,20.9363,21.8558,21.1968,22.6862,28.767,26.9841,17,13,15,22,18,35,20,16,30,26
503.19,0.925898,0.0034233,6,103,0,-501.231,1.90098,0.000209853,15.054,16.4998,19.2192,21.1404,22.6705,23.7367,22.9722,24.7023,31.843,29.7374,22,15,31,23,21,30,22,24,27,37
503.195,0.942784,0.0034233,2,3,0,-502.734,1.90099,0.000201167,14.5573,15.895,18.3982,20.1576,21.5542,22.525,21.8291,23.4026,29.8523,27.9573,15,15,17,21,23,21,13,19,31,18
503.293,0.999954,0.0034233,4,31,0,-503.171,1.90096,0.000205993,14.8308,16.2278,18.8495,20.6973,22.1669,23.1898,22.4565,24.1154,30.9417,28.932,17,16,18,19,22,19,28,26,33,36
502.007,0.83703,0.0034233,6,91,0,-500.914,1.90074,0.000223951,15.8928,17.5268,20.6258,22.8333,24.6012,25.8378,24.9507,26.961,35.3526,32.8635,20,22,18,26,21,24,19,31,53,38
502.357,0.999975,0.0034233,7,179,0,-501.686,1.89956,0.00022292,15.811,17.4287,20.495,22.6778,24.4253,25.6473,24.7708,26.757,35.0413,32.5851,23,19,21,19,27,23,26,22,27,37
502.905,0.999385,0.0034233,6,95,0,-501.218,1.89873,0.000205673,14.7795,16.1694,18.7772,20.615,22.0764,23.0935,22.3643,24.0138,30.7993,28.8019,9,11,20,23,24,16,15,21,31,30
503.621,0.994973,0.0034233,7,131,0,-502.445,1.89955,0.000207192,14.8788,16.2888,18.9368,20.8046,22.2907,23.3254,22.5836,24.262,31.1749,29.1387,25,19,13,26,19,18,22,24,32,34
502.418,0.829394,0.0034233,5,55,0,-501.692,1.89961,0.00018792,13.812,14.9942,17.1892,18.72,19.9289,20.7662,20.1663,21.521,27.0156,25.4102,15,12,15,16,18,19,13,18,34,17
503.282,0.994339,0.0034233,6,99,0,-501.7,1.89928,0.000212299,15.1711,16.6459,19.424,21.3893,22.9562,24.0487,23.2653,25.0386,32.3722,30.2075,21,13,25,24,26,22,16,32,33,26
503.434,0.995868,0.0034233,7,175,0,-502.554,1.9007,0.000201254,14.5581,15.8964,18.401,20.1615,21.559,22.5305,21.8341,23.4087,29.8631,27.9667,12,19,24,26,20,24,27,21,30,27
503.602,0.99576,0.0034233,7,171,0,-502.176,1.90045,0.000202161,14.6054,15.9545,18.4804,20.2568,21.6674,22.6483,21.9451,23.5351,30.0574,28.1403,13,16,19,24,26,20,31,32,35,25
503.672,0.998058,0.0034233,7,151,0,-503.515,1.9002,0.000201995,14.5925,15.9392,18.4605,20.2335,21.6413,22.6201,21.9185,23.5052,30.0131,28.1004,14,22,8,27,25,22,21,38,32,28
503.703,0.992783,0.0034233,1,3,0,-503.612,1.9002,0.000207615,14.9128,16.3291,18.9894,20.8664,22.36,23.4002,22.6544,24.3417,31.2933,29.2454,15,13,18,20,30,22,19,18,30,21
502.888,0.957736,0.0034233,7,151,0,-502.683,1.89899,0.000214419,15.2913,16.7934,19.6263,21.6329,23.234,24.351,23.55,25.3636,32.8766,30.657,16,9,13,13,28,19,27,15,32,36
502.355,0.984612,0.0034233,5,63,0,-501.945,1.89866,0.000195034,14.1834,15.4453,17.7981,19.446,20.7508,21.6564,21.0074,22.4739,28.4556,26.7027,18,15,13,22,24,23,21,20,28,22
502.288,0.974239,0.0034233,4,23,0,-501.871,1.8987,0.000193642,14.108,15.3538,17.6748,19.299,20.5844,21.4762,20.8371,22.281,28.1639,26.441,13,20,10,18,17,24,24,19,34,29
503.685,0.978746,0.0034233,7,151,0,-499.601,1.89988,0.00020879,14.9758,16.4064,19.0957,20.9944,22.506,23.559,22.804,24.5123,31.5576,29.481,9,12,17,22,22,29,13,21,24,27
503.482,0.969716,0.0034233,7,151,0,-503.211,1.90029,0.000212716,15.2109,16.6927,19.4845,21.46,23.0352,24.1337,23.346,25.1291,32.5056,30.3279,14,20,17,13,20,24,20,28,27,21
503.162,0.922568,0.0034233,1,1,0,-503.152,1.90029,0.000216793,15.4524,16.9879,19.8879,21.9449,23.5877,24.7346,23.9121,25.7747,33.5056,31.2193,11,17,18,22,22,22,26,26,28,28
503.699,0.99699,0.0034233,2,3,0,-503.045,1.9003,0.00020525,14.7786,16.1654,18.7668,20.5996,22.0568,23.0709,22.3439,23.9883,30.7509,28.7607,8,14,16,15,19,15,15,24,37,22
503.328,0.978428,0.0034233,7,159,0,-503.107,1.89934,0.000212271,15.1704,16.6449,19.4224,21.3873,22.9538,24.0461,23.2628,25.0357,32.3674,30.2033,20,21,21,27,23,11,34,24,31,26
503.25,0.998146,0.0034233,6,71,0,-503.01,1.89904,0.000207253,14.8746,16.2847,18.9328,20.8008,22.287,23.3219,22.5799,24.2586,31.1728,29.1362,15,22,17,23,24,24,25,20,29,32
503.395,0.922675,0.0034233,7,167,0,-501.571,1.89986,0.000196482,14.2801,15.5604,17.9496,19.6244,20.9513,21.8725,21.2122,22.7044,28.7979,27.0112,7,19,11,20,19,20,17,21,17,25
503.605,0.97475,0.0034233,2,7,0,-503.023,1.89987,0.000200056,14.4787,15.8015,18.2752,20.0128,21.3914,22.3495,21.6627,23.2153,29.5735,27.7064,15,16,14,17,13,16,23,27,34,31
