# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code2_model
# start_datetime = 2023-04-16 10:42:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmphq3csp0a/yvy7vqyh.json
# init = 2 (Default)
# random
#   seed = 45430
# output
#   file = /home/lab5/output/code2-20230416104223_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10,number_of_accidents.1,number_of_accidents.2,number_of_accidents.3,number_of_accidents.4,number_of_accidents.5,number_of_accidents.6,number_of_accidents.7,number_of_accidents.8,number_of_accidents.9,number_of_accidents.10
# Adaptation terminated
# Step size = 0.00321359
# Diagonal elements of inverse mass matrix:
# 1.07168e-05, 9.90111e-06
502.826,0.998676,0.00321359,7,203,0,-501.813,1.901,0.000215518,15.3873,16.9069,19.7747,21.8074,23.43,24.5624,23.7503,25.589,33.213,30.9596,16,15,23,23,18,15,25,29,41,24
503.261,0.98355,0.00321359,2,3,0,-502.642,1.90099,0.000204792,14.7627,16.1448,18.7367,20.5623,22.0134,23.0232,22.2993,23.9367,30.6677,28.6871,12,14,21,20,22,22,24,23,26,21
503.169,0.987716,0.00321359,2,3,0,-503.153,1.90099,0.000200588,14.5249,15.8556,18.3449,20.0939,21.482,22.4467,21.7551,23.3187,29.7243,27.8428,7,12,21,12,18,34,24,17,26,24
503.428,0.999983,0.00321359,6,91,0,-502.977,1.90079,0.000203796,14.703,16.0726,18.6393,20.4462,21.8819,22.8807,22.1647,23.784,30.4354,28.479,15,12,25,23,24,27,25,28,29,35
503.038,0.933245,0.00321359,2,3,0,-502.954,1.9008,0.00019546,14.2372,15.5067,17.8745,19.5331,20.8468,21.7585,21.1051,22.5818,28.6069,26.841,14,17,17,11,16,16,20,25,29,24
502.811,0.944099,0.00321359,6,87,0,-501.824,1.90035,0.000190663,13.9695,15.1833,17.4407,19.0177,20.2643,21.1283,20.5091,21.9077,27.5925,25.9296,15,18,19,20,21,29,19,26,27,20
502.806,0.997815,0.00321359,6,71,0,-502.55,1.90016,0.000190274,13.9459,15.1551,17.4034,18.9736,20.2147,21.0749,20.4585,21.8507,27.5076,25.8532,12,14,16,22,26,18,24,29,24,29
503.618,0.985991,0.00321359,2,3,0,-502.6,1.90015,0.000200265,14.4946,15.8203,18.2997,20.0415,21.4236,22.3841,21.6956,23.2523,29.6281,27.7556,17,18,21,20,22,17,19,21,23,26
502.414,0.99588,0.00321359,7,239,0,-500.793,1.8985,0.000199105,14.406,15.7156,18.1633,19.8816,21.2445,22.1913,21.5127,23.0469,29.3252,27.4823,12,17,18,17,27,26,21,30,25,25
502.571,0.784158,0.00321359,2,3,0,-500.318,1.89852,0.000202269,14.5834,15.9312,18.4549,20.2298,21.6394,22.6195,21.9169,23.5057,30.0237,28.1078,23,15,21,18,18,22,25,23,35,35
501.885,0.933235,0.00321359,2,3,0,-501.875,1.89852,0.000218928,15.5527,17.1142,20.0669,22.1639,23.84,25.0109,24.1711,26.0732,33.9813,31.6406,15,9,22,26,19,23,22,21,42,28
501.04,0.88864,0.00321359,2,7,0,-500.713,1.89851,0.000185869,13.688,14.8462,16.9942,18.4905,19.6711,20.4883,19.9028,21.2248,26.5777,25.0151,15,20,10,27,20,20,20,23,35,10
501.772,0.99854,0.00321359,6,111,0,-497.949,1.89914,0.00022492,15.9269,17.5719,20.6934,22.9182,24.7006,25.9478,25.0531,27.0807,35.5512,33.0377,15,20,24,19,23,31,41,23,37,37
503.235,1,0.00321359,2,3,0,-501.824,1.89915,0.000211215,15.1057,16.5664,19.3159,21.2599,22.809,23.8889,23.1146,24.867,32.1083,29.9718,9,19,19,28,14,19,11,22,37,31
503.735,0.981356,0.00321359,7,175,0,-502.592,1.89993,0.000205391,14.7811,16.1692,18.7731,20.6079,22.0667,23.0819,22.3541,24.0005,30.7717,28.7788,10,15,23,27,29,18,32,16,28,28
502.124,0.904072,0.00321359,7,163,0,-500.445,1.90117,0.000220275,15.6754,17.2593,20.2569,22.3874,24.0913,25.2819,24.4279,26.3625,34.4144,32.0297,20,21,18,26,26,38,20,31,46,42
503.019,1,0.00321359,3,15,0,-502.06,1.90121,0.000203862,14.7129,16.0838,18.6533,20.4621,21.8994,22.8993,22.1825,23.8037,30.463,28.5043,19,19,23,22,25,21,23,36,33,21
503.279,1,0.00321359,6,89,0,-502.877,1.90097,0.000205774,14.8185,16.2128,18.829,20.6728,22.1391,23.1596,22.4279,24.083,30.8918,28.8875,19,10,26,24,25,25,25,16,41,26
503.158,0.983263,0.00321359,3,7,0,-503.112,1.90097,0.000210874,15.1133,16.5722,19.3179,21.2588,22.8052,23.8831,23.1102,24.8594,32.0852,29.9536,17,11,25,19,23,20,29,20,38,39
502.687,0.99203,0.00321359,6,79,0,-502.439,1.90129,0.00021285,15.234,16.719,19.5171,21.4972,23.0762,24.1774,23.3878,25.1752,32.5705,30.3871,19,18,21,20,17,31,20,17,24,32
500.584,0.753577,0.00321359,2,3,0,-500.014,1.9013,0.000228539,16.1861,17.8861,21.1189,23.4279,25.2804,26.5779,25.6471,27.7574,36.5996,33.9719,11,18,21,23,30,27,18,27,48,32
